address,label,n_transactions,bag_purity_proxy,mean_density,max_value_ratio,counterparty_novelty_rate,total_in_eth,total_out_eth
0x783566af247a79ba3a1c5ad6b0c01658edfb2159,normal,13,0.15384615384615385,1.1538461538461537,368563220.00000006,0.9230769230769231,1.6047279822928595,1.5113479167851813
0xf058ece99f9e7b9239fa13f054ad32f6181fd989,normal,3,0.0,1.0,24420000.0,0.6666666666666666,0.02442,0.023559
0x2eb178a1cff5edb8c6ee976299ee1525afdf31ed,normal,5,0.0,1.0,172234219.99999997,0.8,0.17223422,0.37867953989999936
0xe4e0c17787ce895d6259529068152be48ce6a1b7,normal,3,0.0,1.0,288337340.0,1.0,0.28833734,0.0
0x66d3ff436d9c4c5636582e8bab690b0c68da0f0e,normal,4,0.0,1.0,3968400999.9999995,1.0,3.9684009999999996,3.968086
0xd2c2055bc27bc4748b8e8d448aea612da92497d1,normal,8,0.25,1.25,10342829999.999998,0.25,136.40283,136.400346
0x817f59c77f0ad3892d53db6b36228eac3e364bb1,normal,5,0.0,1.0,1500000.0,0.8,0.0015,0.0
0xe95a27e90b8db8afeda5045894b3a6ea0d9a0cae,normal,4,0.0,1.0,1000000.0,0.75,0.001,0.000665627
0x585e2802a4e1b5030428c82ca195069e5ef9e030,normal,4,0.0,1.0,1000000.0,1.0,0.001,0.0
0xcd4f0507ff49589f3e55480317f250d70a29869a,normal,19,0.0,1.0,2330000.0,0.7894736842105263,0.00233,0.0
0x5f2c5fedbc56201159eb42063ac02d61db1a7abe,normal,11,0.2727272727272727,1.7272727272727273,129252668.0,0.6363636363636364,0.12925266800000001,0.11
0x64092dc76597eb11879872278176d66471aef0c7,normal,28,0.0,1.0,3199999.9999999995,0.7142857142857143,0.0031999999999999997,0.0
0xe20378d5f3c139157313ae346f4df64aec195a17,normal,3,0.0,1.0,20000000.0,0.6666666666666666,0.02,0.01954915
0xd728fcbf69168ae8564d577b09d9de462e2cc036,normal,5,0.0,3.4,2021210.000021,0.8,0.002021210000021,0.0018722981498731132
0x4b973bd708e255f9c60fb8733decc2cb8c0580d5,normal,29,0.13793103448275862,2.1724137931034484,1462901229.9999998,0.2413793103448276,58.436752119999994,58.40735212
0x1fc3381cb9648b4271171ee53a574189df4f0555,normal,14,0.2857142857142857,1.2857142857142858,225194220.0,0.6428571428571429,2.3138802011,2.29293842
0xcfb7758096867e47cd7a5838e0613009a0c24b02,normal,3,0.0,3.0,22803221.863248304,1.0,0.022803221863248305,0.022709026663205487
0x0044cfc85cbec4074ae7258762b5af36b6bd1dce,normal,21,0.0,1.380952380952381,106299999999.99998,0.14285714285714285,817.6999999999999,817.6958000000001
0xd8e437a187dbd688ea31b27bb2ed612da9391da9,normal,6,0.3333333333333333,1.3333333333333333,300000000.0,0.3333333333333333,0.3,0.4933458086330329
